year,state_fips,state,annual_avg_estabs,annual_avg_emplvl
2015,1,Alabama,131,1178
2015,2,Alaska,27,72
2015,4,Arizona,365,9029
2015,5,Arkansas,163,1304
2015,6,California,1791,33110
2015,8,Colorado,510,9014
2015,9,Connecticut,156,1609
2015,10,Delaware,83,1004
2015,11,District of Columbia,79,519
2015,12,Florida,1377,17561
2015,13,Georgia,591,8346
2015,15,Hawaii,90,432
2015,16,Idaho,165,615
2015,17,Illinois,870,10219
2015,18,Indiana,278,3096
2015,19,Iowa,172,5639
2015,20,Kansas,120,1578
2015,21,Kentucky,191,6040
2015,22,Louisiana,194,1784
2015,23,Maine,51,466
2015,24,Maryland,317,3931
2015,25,Massachusetts,418,7518
2015,26,Michigan,791,6125
2015,27,Minnesota,409,6952
2015,28,Mississippi,102,1994
2015,29,Missouri,304,9362
2015,30,Montana,73,455
2015,31,Nebraska,113,4832
2015,32,Nevada,285,1601
2015,33,New Hampshire,97,1421
2015,34,New Jersey,567,9604
2015,35,New Mexico,98,471
2015,36,New York,1004,17021
2015,37,North Carolina,662,12942
2015,38,North Dakota,24,571
2015,39,Ohio,451,6043
2015,40,Oklahoma,172,1280
2015,41,Oregon,296,3807
2015,42,Pennsylvania,585,8921
2015,44,Rhode Island,154,2633
2015,45,South Carolina,261,2553
2015,46,South Dakota,70,123
2015,47,Tennessee,358,4932
2015,48,Texas,1041,33910
2015,49,Utah,270,5525
2015,50,Vermont,37,214
2015,51,Virginia,642,12279
2015,53,Washington,487,7405
2015,54,West Virginia,68,1063
2015,55,Wisconsin,204,8402
2015,56,Wyoming,35,194
2016,1,Alabama,186,1131
2016,2,Alaska,26,70
2016,4,Arizona,369,8709
2016,5,Arkansas,190,1338
2016,6,California,2095,39521
2016,8,Colorado,680,9741
2016,9,Connecticut,158,1493
2016,10,Delaware,92,863
2016,11,District of Columbia,114,596
2016,12,Florida,1473,17429
2016,13,Georgia,652,9703
2016,15,Hawaii,90,364
2016,16,Idaho,188,558
2016,17,Illinois,895,9940
2016,18,Indiana,292,2908
2016,19,Iowa,187,3390
2016,20,Kansas,129,1619
2016,21,Kentucky,197,3558
2016,22,Louisiana,224,1847
2016,23,Maine,61,535
2016,24,Maryland,331,3968
2016,25,Massachusetts,460,8778
2016,26,Michigan,945,6525
2016,27,Minnesota,428,6909
2016,28,Mississippi,103,889
2016,29,Missouri,335,9724
2016,30,Montana,69,428
2016,31,Nebraska,110,4860
2016,32,Nevada,281,1755
2016,33,New Hampshire,97,1687
2016,34,New Jersey,592,9728
2016,35,New Mexico,109,488
2016,36,New York,1000,17269
2016,37,North Carolina,682,13156
2016,38,North Dakota,28,563
2016,39,Ohio,488,6621
2016,40,Oklahoma,174,1309
2016,41,Oregon,299,4100
2016,42,Pennsylvania,634,8860
2016,44,Rhode Island,146,2436
2016,45,South Carolina,315,2819
2016,46,South Dakota,79,135
2016,47,Tennessee,398,4937
2016,48,Texas,1143,32536
2016,49,Utah,288,5579
2016,50,Vermont,43,230
2016,51,Virginia,685,11288
2016,53,Washington,615,9111
2016,54,West Virginia,80,1100
2016,55,Wisconsin,202,7911
2016,56,Wyoming,36,197
2017,1,Alabama,290,1684
2017,2,Alaska,26,75
2017,4,Arizona,384,9357
2017,5,Arkansas,223,1381
2017,6,California,2323,43150
2017,8,Colorado,951,10884
2017,9,Connecticut,172,1501
2017,10,Delaware,97,765
2017,11,District of Columbia,161,561
2017,12,Florida,1575,18142
2017,13,Georgia,630,11244
2017,15,Hawaii,92,356
2017,16,Idaho,213,566
2017,17,Illinois,826,10246
