name,localname,link,latitude,longitude,datacenters
USA,America,usa,38.959409,-92.460938,4214
Germany,Deutschland,germany,51.179343,10.50293,490
Indonesia,Indonesia,indonesia,-2.064982,112.104492,183
Brazil,Brasil,brazil,-14.235004,-51.92528,195
The Netherlands,Holland,the-netherlands,52.173932,5.603027,194
Australia,Australia,australia,-26.194877,134.296875,282
Russia,Russia,russia,62.103883,93.867188,180
France,Française,france,47.279229,2.548828,321
India,India,india,20.632784,78.75,276
Canada,Canada,canada,55.37911,-99.667969,295
United Kingdom,UK,united-kingdom,55.378051,-3.435973,514
Italy,Italia,italy,41.013066,11.99707,209
Sweden,Sverige,sweden,62.835089,17.226563,103
Poland,Polska,poland,51.919438,19.145136,94
Ukraine,Ukrayina,ukraine,49.15297,31.201172,38
Japan,Japan,japan,35.675147,137.021484,250
Philippines,Repúblika ng Pilipinas,philippines,12.879721,121.774017,32
Switzerland,Schweiz,switzerland,46.882723,8.393555,117
Spain,España,spain,40.145289,-3.47168,199
Finland,Suomi,finland,64.586185,26.279297,88
Austria,Österreich,austria,47.546872,13.337402,53
Bulgaria,Bulgaria,bulgaria,42.455888,25.202637,31
New Zealand,New Zealand,new-zealand,-40.780541,173.408203,57
Hong Kong,"Hong Kong, SAR of China",hong-kong,22.396428,114.109497,95
South Africa,South Africa,south-africa,-29.152161,25.620117,58
Mexico,United Mexican States,mexico,23.634501,-102.552784,63
Norway,Norge,norway,65.549367,13.710938,86
Romania,Romania,romania,45.828799,24.763184,65
Peru,República del Perú,peru,-9.189967,-75.015152,14
Singapore,Singapore,singapore,1.347074,103.818054,78
China,China,china,36.879621,101.953125,381
Thailand,Ratcha Anachak Thai,thailand,15.870032,100.992541,58
Colombia,Colombia,colombia,3.381824,-73.300781,42
Bangladesh,Peoples Republic of Bangladesh,bangladesh,24.12670195868167,89.912109375,15
Greece,Hellenic Republic,greece,39.074208,21.824312,22
Chile,República de Chile,chile,-35.675147,-71.542969,67
Saudi Arabia,Kingdom of Saudi Arabia (KSA),saudi-arabia,23.885942,45.079162,51
Malaysia,Malaysia,malaysia,3.908099,102.106934,119
Taiwan,Formosa,taiwan,23.69781,120.960515,36
Denmark,Danmark,denmark,55.714735,10.327148,69
Tanzania,U.R.T,tanzania,-6.369028,34.888822,11
Turkey,Türkiye,turkey,38.272689,33.046875,83
Belgium,Belgium,belgium,50.750359,4.669189,48
South Korea,Republic of Korea,south-korea,35.907757,127.766922,94
