name,localname,link,latitude,longitude,datacenters
California,,california,36.668419,-119.970703,321
Texas,,texas,31.728167,-99.404297,413
Florida,,florida,28.613459,-83.056641,126
Virginia,,virginia,37.160317,-79.013672,666
Illinois,,illinois,40.178873,-89.384766,244
New York,,new-york,42.617791,-75.234375,142
Missouri,,missouri,38.61687,-92.548828,55
Georgia,,georgia,32.472695,-83.496094,163
Oregon,,oregon,43.707594,-121.025391,137
Ohio,,ohio,40.446947,-83.056641,203
Colorado,,colorado,38.822591,-106.083984,60
Washington,,washington,47.100045,-121.025391,134
Arizona,,arizona,34.161818,-112.236328,164
Nevada,,nevada,39.027719,-116.982422,62
New Jersey,,new-jersey,39.504041,-74.882813,82
North Carolina,,north-carolina,35.675147,-80.068359,110
Iowa,,iowa,41.902277,-93.691406,105
Minnesota,,minnesota,45.767523,-94.570313,81
Massachusetts,,massachusetts,41.967659,-71.455078,49
District of Columbia,,district-of-columbia,38.889964,-77.01004,7
Michigan,,michigan,43.452919,-84.506836,58
Utah,,utah,39.095963,-111.972656,44
Pennsylvania,,pennsylvania,40.780541,-77.519531,101
Wisconsin,,wisconsin,44.339565,-89.824219,47
Indiana,,indiana,39.774769,-86.396484,79
Alabama,,alabama,32.546813,-86.835938,26
Hawaii,,hawaii,20.550509,-157.939453,9
New Mexico,,new-mexico,34.452218,-106.347656,22
Nebraska,,nebraska,41.376809,-100.458984,39
Tennessee,,tennessee,35.675147,-86.660156,60
Maryland,,maryland,38.993572,-76.59668,44
Kentucky,,kentucky,37.509726,-85.166016,37
Montana,,montana,47.100045,-109.775391,27
Kansas,,kansas,38.548165,-98.4375,19
Oklahoma,,oklahoma,35.532226,-97.822266,37
Maine,,maine,44.902578,-69.345703,8
West Virginia,,west-virginia,38.410558,-80.771484,7
Alaska,,alaska,65.146115,-152.929688,4
North Dakota,,north-dakota,47.457809,-100.722656,22
South Carolina,,south-carolina,33.870416,-80.947266,30
South Dakota,,south-dakota,44.465151,-100.458984,5
Wyoming,,wyoming,42.875964,-108.017578,15
Louisiana,,louisiana,31.244823,-92.145025,23
Connecticut,,connecticut,41.590797,-72.817383,61
Delaware,,delaware,38.976492,-75.476074,19
Rhode Island,,rhode-island,41.607228,-71.499023,7
Idaho,,idaho,44.339565,-114.521484,10
New Hampshire,,new-hampshire,43.133061,-71.542969,10
Vermont,,vermont,44.21371,-72.685547,3
Arkansas,,arkansas,34.885931,-92.8125,6
Mississippi,,mississippi,33.063924,-89.824219,10
